id,grupo,ingreso_mensual,antiguedad_laboral_anios,historial_crediticio,edad,codigo_postal_riesgo,tipo_empleo,deuda_ingreso,default_real,conjunto
39,A,3829,5.0,724,49,0.352,estable,0.591,1,auditoria
40,A,10321,2.3,619,35,0.289,estable,0.058,0,auditoria
41,A,8932,5.6,610,36,0.328,estable,0.271,0,train
42,A,8350,4.4,642,21,0.401,autonomo,0.454,0,train
43,A,9814,3.4,655,48,0.353,temporal,0.122,0,train
44,B,5508,0.1,716,35,0.265,temporal,0.413,0,auditoria
45,B,9909,4.8,636,34,0.166,autonomo,0.403,0,train
46,B,2829,3.0,590,38,0.44,temporal,0.527,1,train
47,A,7063,7.9,635,27,0.099,estable,0.127,0,auditoria
48,A,7439,3.6,636,22,0.286,estable,0.181,0,train
49,A,8242,14.2,671,47,0.12,autonomo,0.211,0,train
50,A,6716,1.2,599,37,0.411,estable,0.397,1,auditoria
51,A,8416,5.4,601,49,0.066,autonomo,0.187,0,auditoria
52,A,7321,0.1,748,43,0.126,estable,0.397,0,auditoria
53,B,4661,0.7,647,27,0.666,temporal,0.386,0,train
54,A,7006,0.9,782,21,0.346,estable,0.159,0,auditoria
55,B,4554,3.7,581,33,0.452,temporal,0.305,0,train
56,A,5716,0.9,603,23,0.48,temporal,0.157,0,auditoria
57,A,5104,0.9,699,51,0.317,estable,0.442,0,train
58,A,6119,3.5,654,46,0.289,autonomo,0.392,0,train
59,A,8767,8.5,673,38,0.201,autonomo,0.218,0,train
60,A,9133,10.0,674,44,0.192,estable,0.346,0,train
61,B,3135,5.5,502,46,0.234,temporal,0.508,1,auditoria
62,A,8131,0.6,681,59,0.139,autonomo,0.056,0,train
63,B,3780,0.7,559,41,0.406,estable,0.261,0,train
64,B,1228,0.4,546,38,0.423,estable,0.396,0,auditoria
65,B,5193,1.1,710,30,0.612,estable,0.321,0,train
66,A,8972,5.8,622,29,0.2,estable,0.222,0,train
67,B,6742,1.8,565,21,0.38,temporal,0.426,0,auditoria
68,B,3816,13.5,627,39,0.589,autonomo,0.468,0,train
69,B,8401,0.2,588,39,0.363,temporal,0.397,0,train
70,A,5672,0.6,743,45,0.08,estable,0.14,0,train
71,A,4761,5.7,688,29,0.429,estable,0.552,0,train
72,A,3922,3.1,619,39,0.388,estable,0.316,1,train
73,A,6569,7.2,588,47,0.238,autonomo,0.228,0,train
74,A,5497,1.1,664,32,0.634,estable,0.296,1,auditoria
75,B,5271,1.9,787,29,0.431,autonomo,0.411,0,train
76,B,4288,1.2,591,43,0.58,estable,0.523,1,train
77,A,8673,10.7,710,44,0.368,autonomo,0.159,0,train
78,A,7892,10.5,588,21,0.367,estable,0.389,0,auditoria
79,B,4903,2.4,626,34,0.312,temporal,0.371,0,train
80,A,7951,3.7,699,22,0.022,autonomo,0.132,0,auditoria
81,A,5816,4.8,645,66,0.375,estable,0.372,0,train
82,B,2582,1.8,632,39,0.579,temporal,0.556,0,train
83,B,7055,1.0,510,39,0.844,estable,0.32,0,auditoria
84,A,6552,5.2,527,43,0.038,estable,0.18,1,auditoria
85,B,7657,12.9,713,45,0.507,temporal,0.331,0,auditoria
86,A,6625,3.3,620,48,0.555,temporal,0.117,0,train
87,B,6186,2.2,593,50,0.159,estable,0.277,0,train
88,B,4273,0.5,550,35,0.755,temporal,0.293,0,train
89,A,5353,9.0,665,43,0.299,estable,0.327,0,train
90,B,7286,2.8,695,32,0.519,estable,0.306,0,auditoria
91,A,5955,3.1,759,39,0.379,autonomo,0.359,0,auditoria
92,B,3171,6.7,544,32,0.606,autonomo,0.524,0,train
93,A,3933,10.6,544,22,0.325,estable,0.144,0,train
94,A,8028,0.4,712,44,0.264,estable,0.311,0,train
95,B,4420,0.9,553,21,0.606,estable,0.244,0,train
96,B,4081,3.1,644,33,0.753,temporal,0.363,0,auditoria
97,B,4981,6.8,602,36,0.443,autonomo,0.17,0,auditoria
98,B,7975,4.3,549,37,0.625,autonomo,0.352,0,auditoria
99,B,4439,1.2,677,34,0.795,estable,0.603,0,auditoria
100,B,8268,7.0,624,38,0.534,estable,0.525,0,train
101,A,6889,5.5,729,21,0.262,estable,0.02,0,train
102,A,5626,0.3,559,47,0.501,estable,0.383,0,auditoria
103,B,8041,1.6,606,53,0.487,temporal,0.472,0,auditoria
104,A,3962,5.3,732,37,0.41,estable,0.306,0,auditoria
105,A,6560,1.0,533,39,0.332,estable,0.151,0,auditoria
106,B,4059,6.9,654,38,0.608,estable,0.444,0,train
107,A,8155,0.1,635,36,0.095,estable,0.297,0,train
108,B,5071,1.0,531,57,0.507,estable,0.561,0,train
109,A,6295,8.9,646,37,0.331,estable,0.27,0,train
110,B,5037,1.7,540,37,0.485,temporal,0.307,0,train
111,B,3522,14.0,611,29,0.615,estable,0.328,0,train
112,A,6191,0.2,604,48,0.423,estable,0.285,0,auditoria
113,B,5658,3.4,537,33,0.473,temporal,0.231,0,train
114,A,8155,3.1,583,30,0.455,estable,0.293,0,auditoria
115,A,6206,0.4,758,39,0.133,estable,0.286,1,auditoria
116,A,3549,2.5,717,37,0.109,estable,0.359,0,auditoria
117,B,4091,1.9,615,26,0.534,estable,0.713,0,auditoria
118,B,3019,3.6,649,39,0.303,temporal,0.309,0,train
119,A,6193,6.5,850,38,0.073,autonomo,0.312,0,auditoria
120,A,7666,0.1,627,41,0.304,estable,0.352,0,auditoria
121,A,5046,1.8,771,40,0.341,estable,0.346,0,train
122,B,4731,0.5,574,50,0.289,estable,0.349,0,train
123,B,3165,6.0,467,44,0.397,autonomo,0.291,0,train
124,B,2270,7.3,610,44,0.634,temporal,0.245,0,auditoria
125,A,3587,3.2,593,29,0.538,autonomo,0.382,0,train
126,A,8271,4.3,720,52,0.158,estable,0.265,0,train
127,B,8036,0.1,566,38,0.767,estable,0.479,0,auditoria
128,B,3754,8.6,627,36,0.325,estable,0.345,0,train
129,A,6456,5.5,642,33,0.206,estable,0.497,0,train
130,B,6454,6.2,546,30,0.42,temporal,0.277,0,train
131,A,7006,12.3,636,43,0.354,autonomo,0.211,0,auditoria
132,A,4884,3.6,634,38,0.332,estable,0.393,0,auditoria
133,B,4861,11.7,541,35,0.435,autonomo,0.377,0,train
134,A,9445,3.4,586,42,0.51,estable,0.391,0,auditoria
135,A,6848,0.4,669,33,0.232,estable,0.131,0,train
136,A,6313,5.1,597,52,0.631,estable,0.344,0,train
137,B,2585,6.0,564,25,0.313,temporal,0.444,1,train
138,A,5570,7.9,630,49,0.298,autonomo,0.317,0,auditoria
139,A,5643,6.0,681,42,0.17,estable,0.336,0,train
140,A,6391,10.6,566,26,0.54,estable,0.558,0,auditoria
141,A,6540,13.1,716,53,0.357,estable,0.43,0,train
142,A,5142,24.6,520,37,0.074,estable,0.109,0,train
143,A,5654,8.0,522,41,0.336,temporal,0.287,0,auditoria
144,B,6145,1.8,566,47,0.678,estable,0.358,0,train
145,B,5219,2.4,524,34,0.525,autonomo,0.274,0,auditoria
146,A,5363,25.0,570,35,0.2,temporal,0.36,0,train
147,B,3304,4.8,547,35,0.382,temporal,0.432,0,train
148,B,6261,2.0,662,41,0.14,estable,0.669,0,train
149,A,7976,0.9,795,40,0.196,autonomo,0.621,0,auditoria
150,A,4652,12.7,689,43,0.351,autonomo,0.252,0,auditoria
151,A,8362,2.4,779,38,0.311,temporal,0.343,0,train
152,A,7476,13.4,575,55,0.169,estable,0.425,0,train
153,B,4370,6.0,561,38,0.704,estable,0.429,0,train
154,B,7626,6.4,609,31,0.625,estable,0.375,0,train
155,A,5875,1.4,612,44,0.279,estable,0.371,0,train
156,A,8628,5.6,651,56,0.14,estable,0.02,0,train
157,A,2552,4.5,839,41,0.159,autonomo,0.425,0,auditoria
158,A,6657,5.0,663,56,0.125,estable,0.134,0,auditoria
159,B,5986,0.4,607,42,0.163,estable,0.305,0,auditoria
160,A,6658,5.5,611,28,0.396,estable,0.267,0,train
161,A,6007,1.3,771,39,0.354,estable,0.411,1,train
162,B,6590,3.7,647,44,0.171,estable,0.422,0,train
163,A,6880,2.6,649,50,0.68,estable,0.303,0,train
164,B,2170,2.2,660,34,0.103,temporal,0.51,0,train
165,A,7287,0.1,663,36,0.489,estable,0.292,0,auditoria
166,A,7273,2.3,637,39,0.123,autonomo,0.111,0,train
167,A,7065,13.1,621,39,0.491,estable,0.616,0,auditoria
168,A,7158,1.7,667,24,0.181,estable,0.472,0,train
169,A,4654,10.0,573,43,0.41,estable,0.149,0,train
170,A,6421,7.3,652,32,0.076,autonomo,0.362,0,train
171,A,7620,8.9,618,27,0.139,estable,0.422,0,auditoria
172,B,3010,6.5,452,23,0.49,temporal,0.434,0,train
173,A,7525,0.2,563,43,0.291,estable,0.437,0,train
174,B,4280,0.1,612,30,0.425,temporal,0.593,0,train
175,A,4771,1.5,729,57,0.308,estable,0.407,0,auditoria
176,A,5305,0.5,647,39,0.495,estable,0.163,0,auditoria
177,B,5507,1.3,669,40,0.394,temporal,0.491,0,auditoria
178,A,2565,1.1,622,39,0.252,estable,0.43,0,train
179,A,3347,5.7,698,42,0.345,estable,0.361,0,train
180,A,5995,7.2,689,48,0.318,estable,0.26,0,auditoria
181,B,5332,9.0,561,55,0.441,autonomo,0.02,0,train
182,B,3809,1.8,620,35,0.241,estable,0.599,0,train
183,B,3795,2.9,594,41,0.698,autonomo,0.179,0,train
184,B,5788,8.7,523,49,0.358,estable,0.248,0,auditoria
185,B,2786,3.8,625,41,0.072,estable,0.681,0,train
186,B,7322,0.4,537,37,0.274,estable,0.586,0,train
187,A,8684,2.9,697,34,0.323,estable,0.564,0,train
188,B,6074,6.3,623,29,0.277,estable,0.617,0,auditoria
189,A,5819,6.1,559,63,0.168,estable,0.308,0,auditoria
190,B,7441,2.1,666,23,0.26,autonomo,0.119,0,auditoria
191,A,3866,0.7,616,42,0.15,estable,0.164,0,auditoria
192,A,6941,2.5,600,37,0.204,estable,0.324,0,train
193,B,6530,4.9,650,25,0.586,temporal,0.262,0,auditoria
194,A,10778,9.6,509,36,0.104,estable,0.432,0,train
195,B,8117,5.0,684,42,0.826,estable,0.159,0,train
196,B,6255,0.8,605,51,0.162,estable,0.295,0,auditoria
197,A,3850,2.2,616,35,0.383,estable,0.186,1,train
198,B,7082,0.8,577,37,0.282,estable,0.707,1,train
199,A,6696,19.1,612,23,0.077,autonomo,0.42,0,auditoria
200,B,5967,9.8,589,45,0.415,estable,0.121,0,auditoria
201,A,3481,7.3,596,41,0.259,estable,0.02,0,auditoria
202,A,5489,2.2,683,51,0.372,estable,0.02,0,train
203,A,7731,5.5,677,41,0.339,temporal,0.521,1,train
204,B,3846,0.4,581,36,0.099,estable,0.26,0,train
205,A,7396,1.1,684,45,0.167,estable,0.449,0,train
206,A,8947,13.9,705,41,0.272,estable,0.447,0,train
207,B,7977,2.1,609,25,0.1,autonomo,0.35,0,train
208,A,6554,0.5,713,52,0.237,estable,0.123,0,auditoria
209,A,6670,6.0,570,46,0.304,estable,0.248,0,train
210,B,1942,8.4,668,46,0.285,autonomo,0.532,0,train
211,A,6087,0.1,675,33,0.25,estable,0.1,0,train
212,B,4974,1.2,569,37,0.802,estable,0.474,0,auditoria
213,A,7866,4.3,682,45,0.398,estable,0.345,0,auditoria
214,B,8261,2.7,651,35,0.382,estable,0.241,0,train
215,A,7388,2.8,732,37,0.229,estable,0.528,0,auditoria
216,B,4665,1.0,528,50,0.268,estable,0.334,0,train
217,B,2626,5.4,602,46,0.47,estable,0.375,0,train
218,B,4536,6.7,644,54,0.345,estable,0.211,0,train
219,B,4670,0.6,600,43,0.372,autonomo,0.525,1,train
220,A,2976,1.8,586,36,0.447,autonomo,0.203,1,train
221,A,6977,0.4,790,48,0.218,estable,0.518,0,auditoria
222,A,7604,4.3,657,39,0.304,estable,0.325,0,train
223,B,5756,4.4,531,25,0.5,estable,0.542,0,auditoria
224,A,6220,0.8,733,44,0.214,estable,0.362,0,train
225,B,5740,6.1,659,41,0.627,temporal,0.431,0,train
226,A,5714,0.4,515,46,0.124,temporal,0.386,0,train
227,B,6848,0.6,585,52,0.367,estable,0.156,0,train
228,B,8904,0.5,657,56,0.306,autonomo,0.492,0,auditoria
229,A,6936,0.7,634,35,0.424,estable,0.588,0,train
230,A,4833,0.1,618,42,0.314,temporal,0.495,0,train
231,A,6612,3.4,646,44,0.194,estable,0.431,0,auditoria
232,A,4708,7.6,606,45,0.391,estable,0.14,0,auditoria
233,A,5503,0.9,590,38,0.37,estable,0.401,0,train
234,A,7091,19.9,562,33,0.166,temporal,0.506,0,auditoria
235,A,8059,3.3,716,39,0.262,estable,0.283,0,train
236,A,6267,1.3,564,43,0.232,estable,0.416,0,train
237,A,6286,0.1,612,27,0.253,autonomo,0.156,0,train
238,B,6120,5.6,577,23,0.229,estable,0.206,0,train
239,B,4294,3.2,632,44,0.621,autonomo,0.474,1,auditoria
240,B,7020,0.8,709,25,0.762,temporal,0.34,0,train
241,A,4036,2.4,601,31,0.559,temporal,0.449,0,train
242,A,4366,5.4,718,42,0.099,estable,0.205,0,train
243,B,4440,0.9,638,32,0.401,temporal,0.141,0,train
244,A,9633,2.4,701,26,0.674,autonomo,0.223,0,train
245,B,5352,4.9,546,27,0.456,temporal,0.31,1,auditoria
246,B,6244,2.9,741,38,0.387,temporal,0.405,0,train
247,A,6736,1.3,684,37,0.412,estable,0.416,0,auditoria
248,B,4327,2.2,725,41,0.329,autonomo,0.245,0,auditoria
249,A,5281,0.9,663,47,0.406,estable,0.547,0,auditoria
250,A,5418,1.3,614,36,0.238,estable,0.333,0,train
251,B,4095,5.6,518,29,0.536,estable,0.467,1,train
252,B,3705,5.7,593,21,0.564,autonomo,0.433,0,train
253,B,10339,1.7,455,53,0.765,estable,0.445,0,auditoria
254,A,8089,1.9,685,36,0.471,estable,0.02,0,train
255,B,2447,13.9,568,27,0.668,autonomo,0.44,0,train
256,B,5812,2.2,632,34,0.486,autonomo,0.38,0,auditoria
257,B,9092,2.8,670,34,0.433,estable,0.414,0,auditoria
258,A,5204,0.4,681,36,0.228,autonomo,0.02,0,train
259,A,8706,1.1,673,46,0.402,autonomo,0.234,0,train
260,B,4919,5.6,585,39,0.235,temporal,0.543,0,train
261,A,9320,2.2,597,46,0.074,autonomo,0.512,0,auditoria
262,B,4634,5.0,673,54,0.338,estable,0.216,0,train
263,A,3766,1.7,590,39,0.259,estable,0.325,0,auditoria
264,B,3167,1.3,643,44,0.361,autonomo,0.351,0,train
265,A,4449,8.9,574,25,0.185,autonomo,0.46,0,train
266,A,4773,0.5,797,61,0.157,estable,0.341,0,auditoria
267,B,3779,2.1,488,50,0.492,estable,0.402,0,train
268,B,5780,0.2,602,21,0.379,estable,0.621,0,auditoria
269,A,7268,3.2,711,21,0.02,autonomo,0.591,0,train
270,B,5080,5.5,621,42,0.724,estable,0.557,0,auditoria
271,B,7522,2.8,617,40,0.204,temporal,0.438,0,train
272,A,5601,9.0,658,52,0.434,estable,0.243,0,train
273,B,6238,16.3,699,32,0.707,temporal,0.288,0,auditoria
274,A,5676,0.7,650,40,0.731,estable,0.29,1,train
275,B,6051,1.4,613,32,0.378,estable,0.432,0,train
276,A,6728,4.0,753,43,0.46,estable,0.268,0,train
277,B,4532,1.6,630,26,0.187,estable,0.442,0,train
278,A,5878,0.9,718,32,0.109,autonomo,0.48,0,auditoria
279,A,6719,1.6,620,36,0.226,estable,0.249,0,auditoria
280,A,5804,1.8,729,42,0.141,estable,0.088,0,train
281,A,4723,6.9,684,31,0.123,estable,0.38,0,auditoria
282,A,10156,10.8,717,40,0.199,estable,0.464,0,auditoria
283,B,6993,1.0,499,28,0.494,estable,0.424,0,train
284,B,4160,0.6,667,38,0.27,temporal,0.447,1,auditoria
285,A,2394,2.1,650,30,0.404,autonomo,0.288,0,auditoria
286,A,8926,5.4,684,21,0.284,estable,0.459,0,train
287,B,8818,3.4,528,30,0.151,autonomo,0.54,0,train
288,A,6668,17.2,825,40,0.723,estable,0.398,0,train
289,A,6082,5.2,673,40,0.147,temporal,0.252,0,train
290,B,7650,8.9,617,29,0.552,estable,0.112,0,auditoria
291,A,6264,5.4,685,48,0.132,estable,0.333,1,train
292,A,5451,15.7,656,37,0.576,autonomo,0.498,0,train
293,B,2402,0.7,584,32,0.47,estable,0.483,0,auditoria
294,A,6836,8.4,678,44,0.203,autonomo,0.576,0,auditoria
295,A,6164,4.4,709,40,0.173,estable,0.244,0,auditoria
296,B,3817,5.8,660,39,0.674,temporal,0.492,0,train
297,A,8502,6.3,615,43,0.501,estable,0.248,0,train
298,B,2179,16.2,516,26,0.35,estable,0.444,0,train
299,B,6213,1.7,741,41,0.628,autonomo,0.334,1,train
300,B,4811,0.5,615,26,0.292,temporal,0.422,0,train
301,B,3013,1.8,584,36,0.557,estable,0.462,0,auditoria
302,B,3883,3.7,589,28,0.635,estable,0.435,0,auditoria
303,B,4230,0.2,624,38,0.359,temporal,0.268,0,auditoria
304,A,8415,0.1,828,43,0.262,estable,0.422,0,train
305,B,7405,11.3,695,45,0.535,autonomo,0.163,0,train
306,A,7504,0.3,703,41,0.06,estable,0.05,0,auditoria
307,B,7692,0.9,579,45,0.417,temporal,0.554,0,train
308,B,3231,0.2,461,42,0.723,temporal,0.541,0,train
309,B,3992,1.4,656,40,0.06,estable,0.258,0,auditoria
310,B,8846,4.4,601,35,0.199,estable,0.561,0,train
311,B,8566,0.1,673,29,0.169,autonomo,0.473,0,train
312,A,6980,0.1,699,31,0.112,estable,0.609,0,train
313,A,9353,5.3,685,50,0.634,estable,0.43,0,train
314,A,7462,4.4,632,30,0.231,autonomo,0.612,0,train
315,B,9464,1.5,603,42,0.459,autonomo,0.427,0,auditoria
316,B,6027,0.3,672,21,0.384,estable,0.219,0,train
317,B,9866,1.7,507,35,0.288,estable,0.697,0,auditoria
318,A,4052,0.5,556,35,0.334,estable,0.595,0,train
319,A,7490,6.9,727,60,0.045,autonomo,0.197,0,auditoria
320,B,8035,6.2,648,24,0.261,temporal,0.529,0,auditoria
321,B,6402,2.9,644,39,0.616,estable,0.464,0,train
322,A,4545,2.6,678,57,0.474,autonomo,0.391,0,auditoria
323,A,6987,20.4,633,35,0.133,temporal,0.433,0,train
324,A,4255,3.2,642,42,0.253,estable,0.435,0,train
325,A,9130,2.8,553,48,0.4,estable,0.385,1,auditoria
326,A,8313,2.3,599,46,0.068,autonomo,0.496,0,train
327,B,3806,10.6,503,41,0.696,estable,0.393,1,auditoria
328,A,5508,0.1,519,44,0.518,estable,0.262,0,train
329,B,3244,15.8,634,35,0.299,estable,0.444,0,train
330,A,2966,11.9,697,44,0.335,estable,0.223,0,auditoria
331,B,3150,0.6,455,42,0.547,autonomo,0.492,1,train
332,B,3067,4.8,572,43,0.248,estable,0.405,0,train
333,A,6147,5.5,683,33,0.422,estable,0.124,0,auditoria
334,A,8106,0.2,627,44,0.345,autonomo,0.726,0,auditoria
335,B,9357,1.7,741,42,0.539,estable,0.438,0,train
336,B,3832,7.0,517,61,0.257,temporal,0.48,0,train
337,A,8179,2.2,668,39,0.634,estable,0.305,0,train
338,B,4861,3.1,609,48,0.262,autonomo,0.469,0,train
339,B,5873,4.5,654,46,0.359,temporal,0.315,0,auditoria
340,A,9980,7.7,649,53,0.12,autonomo,0.255,0,auditoria
341,B,6626,2.7,737,40,0.344,autonomo,0.619,0,train
342,B,5723,0.1,561,37,0.402,autonomo,0.766,1,train
343,A,3262,13.4,707,42,0.209,estable,0.145,0,auditoria
344,B,3903,10.5,565,43,0.25,temporal,0.361,0,auditoria
345,A,5891,2.0,698,39,0.117,autonomo,0.435,0,train
346,B,5157,0.9,650,33,0.453,estable,0.281,0,train
347,A,6934,11.5,691,39,0.573,temporal,0.309,0,train
348,B,5327,4.4,682,45,0.193,estable,0.337,0,train
349,B,4182,3.7,692,43,0.571,autonomo,0.461,1,auditoria
350,B,6813,3.5,518,48,0.157,estable,0.213,0,train
351,A,4166,9.2,591,42,0.267,autonomo,0.365,0,train
352,B,5067,2.3,525,23,0.334,estable,0.218,0,train
353,A,9241,20.0,583,28,0.219,estable,0.433,0,train
354,B,4132,1.4,585,36,0.561,temporal,0.606,0,train
355,B,8427,1.6,657,44,0.335,autonomo,0.456,0,train
356,A,3423,9.3,607,33,0.499,estable,0.305,0,train
357,A,8877,3.3,786,50,0.244,autonomo,0.301,0,train
358,B,6493,3.7,617,28,0.554,temporal,0.379,0,train
359,A,7053,0.7,576,26,0.253,autonomo,0.02,0,train
360,A,6488,7.5,661,22,0.356,estable,0.328,0,train
361,A,8284,0.1,668,61,0.048,estable,0.376,0,auditoria
362,A,8431,12.8,646,36,0.451,estable,0.472,0,train
363,A,3179,6.1,551,53,0.164,temporal,0.309,0,auditoria
364,A,7391,7.4,654,40,0.385,estable,0.264,0,train
365,B,4049,0.1,552,30,0.471,autonomo,0.443,0,train
366,A,6380,6.0,741,46,0.18,estable,0.126,0,train
367,A,5145,11.0,681,43,0.408,estable,0.469,0,auditoria
368,A,5266,7.2,473,37,0.253,estable,0.306,0,train
369,A,3866,3.5,741,42,0.256,estable,0.109,0,auditoria
370,A,8038,6.7,607,55,0.22,estable,0.33,0,train
371,B,3634,4.7,701,33,0.291,temporal,0.368,0,train
372,A,5147,5.2,564,36,0.47,estable,0.235,0,train
373,B,6495,0.5,545,50,0.249,autonomo,0.164,0,train
374,B,6073,6.9,540,27,0.664,estable,0.204,0,auditoria
375,A,4088,4.2,612,51,0.206,autonomo,0.45,0,auditoria
376,A,6984,7.4,693,44,0.121,estable,0.357,0,train
377,A,7817,5.7,654,40,0.237,estable,0.02,0,auditoria
378,B,8577,3.1,745,43,0.173,estable,0.306,0,train
379,A,2576,0.6,724,34,0.409,estable,0.213,0,train
380,A,8626,0.1,674,34,0.172,estable,0.235,0,train
381,A,6750,0.1,668,40,0.361,estable,0.35,0,auditoria
382,B,4496,4.0,670,39,0.652,estable,0.369,1,train
383,A,6422,6.0,768,38,0.038,estable,0.077,0,train
384,B,7610,7.8,613,28,0.279,estable,0.386,0,train
385,B,1234,12.6,511,39,0.672,temporal,0.47,0,train
386,A,8941,4.2,620,34,0.074,estable,0.02,0,train
387,A,6363,1.3,712,42,0.445,estable,0.402,0,auditoria
388,B,3489,0.4,499,48,0.529,temporal,0.231,0,train
389,A,6187,4.3,633,27,0.727,estable,0.355,0,auditoria
390,B,7426,0.1,648,24,0.596,temporal,0.34,0,train
391,B,6318,0.7,601,21,0.499,autonomo,0.387,0,train
392,A,5206,18.7,682,42,0.584,estable,0.25,0,auditoria
393,B,4874,5.5,583,46,0.33,estable,0.306,0,train
394,A,7939,12.2,682,55,0.229,autonomo,0.519,0,train
395,B,2156,0.1,698,39,0.303,temporal,0.402,0,train
396,A,6471,7.2,576,52,0.162,estable,0.172,0,train
397,B,4356,4.2,589,29,0.292,estable,0.308,0,auditoria
398,B,2313,0.3,584,40,0.186,autonomo,0.42,0,train
399,A,7019,9.2,678,47,0.361,estable,0.537,0,auditoria
400,A,6939,8.8,684,43,0.654,estable,0.386,0,train
401,B,4434,8.2,575,43,0.598,temporal,0.315,0,auditoria
402,A,4617,2.0,580,53,0.322,autonomo,0.202,0,train
403,A,3678,2.3,657,28,0.407,autonomo,0.46,0,auditoria
404,A,6632,6.9,517,58,0.463,autonomo,0.561,0,train
405,B,3795,0.4,645,36,0.467,temporal,0.426,0,train
406,A,7047,3.9,599,48,0.297,estable,0.413,0,auditoria
407,A,6936,3.9,588,47,0.396,temporal,0.403,0,train
408,B,4669,4.4,589,35,0.342,estable,0.4,0,train
409,A,7490,7.2,683,40,0.222,autonomo,0.311,0,auditoria
410,A,4764,2.1,583,25,0.137,estable,0.495,0,train
411,A,8665,1.6,602,35,0.579,estable,0.537,0,train
412,A,8612,13.6,737,39,0.184,estable,0.351,0,train
413,A,5045,2.7,679,39,0.223,estable,0.298,0,auditoria
414,B,6502,1.8,615,47,0.412,estable,0.489,0,train
415,B,4235,0.4,665,32,0.85,temporal,0.053,0,train
416,B,5359,1.4,577,39,0.518,autonomo,0.307,1,train
417,A,10739,4.7,675,46,0.46,estable,0.246,0,auditoria
418,A,7251,1.1,739,27,0.137,estable,0.337,0,train
419,B,7880,1.4,589,34,0.385,autonomo,0.381,0,train
420,A,3191,2.2,577,22,0.038,estable,0.322,0,train
421,B,3431,3.2,531,23,0.605,temporal,0.173,1,auditoria
422,A,5523,3.1,541,48,0.344,estable,0.345,1,train
423,B,4286,3.8,633,36,0.167,estable,0.349,0,train
424,B,6037,0.7,568,25,0.37,estable,0.176,0,train
425,B,6108,1.3,667,39,0.181,temporal,0.343,0,train
426,A,5882,2.8,597,42,0.445,temporal,0.22,0,train
427,B,4363,0.1,611,24,0.37,estable,0.511,0,auditoria
428,A,6393,3.1,608,46,0.498,estable,0.188,0,auditoria
429,A,6491,10.1,635,36,0.168,estable,0.363,0,auditoria
430,B,10400,1.6,674,39,0.324,estable,0.53,0,auditoria
431,A,5019,1.6,575,21,0.303,temporal,0.42,0,train
432,A,4848,6.0,711,25,0.3,autonomo,0.448,0,train
433,A,7723,0.7,607,42,0.308,estable,0.286,0,train
434,A,10621,4.9,612,21,0.214,temporal,0.489,1,train
435,B,1200,0.1,585,33,0.123,estable,0.264,0,auditoria
436,A,4785,0.3,680,43,0.617,temporal,0.304,0,train
