id,grupo,ingreso_mensual,antiguedad_laboral_anios,historial_crediticio,edad,codigo_postal_riesgo,tipo_empleo,deuda_ingreso,default_real,prob_default,pred_default,aprobado_modelo,conjunto
116,A,3549,2.5,717,37,0.109,estable,0.359,0,0.13976,0,1,auditoria
935,A,8243,4.9,794,36,0.351,estable,0.227,0,0.16168,0,1,auditoria
212,B,4974,1.2,569,37,0.802,estable,0.474,0,0.56554,1,0,auditoria
1234,B,6874,0.9,482,25,0.505,temporal,0.374,0,0.50939,1,0,auditoria
102,A,5626,0.3,559,47,0.501,estable,0.383,0,0.44518,1,0,auditoria
377,A,7817,5.7,654,40,0.237,estable,0.02,0,0.10969,0,1,auditoria
78,A,7892,10.5,588,21,0.367,estable,0.389,0,0.16979,0,1,auditoria
320,B,8035,6.2,648,24,0.261,temporal,0.529,0,0.28548,0,1,auditoria
1056,B,4041,2.1,769,46,0.452,estable,0.339,0,0.34492,0,1,auditoria
600,B,6214,3.7,566,37,0.644,autonomo,0.411,0,0.55382,1,0,auditoria
83,B,7055,1.0,510,39,0.844,estable,0.32,0,0.39345,0,1,auditoria
1180,B,7753,11.7,620,53,0.456,temporal,0.631,0,0.2291,0,1,auditoria
239,B,4294,3.2,632,44,0.621,autonomo,0.474,1,0.58357,1,0,auditoria
392,A,5206,18.7,682,42,0.584,estable,0.25,0,0.14769,0,1,auditoria
593,B,3184,0.1,626,46,0.463,estable,0.662,0,0.45852,1,0,auditoria
293,B,2402,0.7,584,32,0.47,estable,0.483,0,0.53917,1,0,auditoria
776,B,6541,4.4,644,44,0.41,estable,0.569,0,0.36922,0,1,auditoria
2,A,8264,6.6,593,47,0.338,estable,0.233,0,0.17111,0,1,auditoria
676,B,5359,1.2,467,21,0.516,temporal,0.569,0,0.46841,1,0,auditoria
145,B,5219,2.4,524,34,0.525,autonomo,0.274,0,0.43147,1,0,auditoria
96,B,4081,3.1,644,33,0.753,temporal,0.363,0,0.48927,1,0,auditoria
665,B,5305,1.8,617,42,0.44,temporal,0.187,0,0.28298,0,1,auditoria
50,A,6716,1.2,599,37,0.411,estable,0.397,1,0.38145,0,1,auditoria
517,B,4359,3.7,570,43,0.539,autonomo,0.392,0,0.6669,1,0,auditoria
1123,A,6693,6.9,742,38,0.347,estable,0.38,0,0.13239,0,1,auditoria
1269,A,6097,0.7,671,37,0.22,autonomo,0.186,0,0.1571,0,1,auditoria
554,B,4203,3.7,604,29,0.718,temporal,0.359,0,0.54259,1,0,auditoria
911,A,5108,8.6,648,41,0.214,autonomo,0.43,0,0.11337,0,1,auditoria
17,A,6554,4.6,629,40,0.281,estable,0.267,0,0.2203,0,1,auditoria
1285,A,6361,11.7,723,30,0.471,autonomo,0.386,0,0.11165,0,1,auditoria
175,A,4771,1.5,729,57,0.308,estable,0.407,0,0.20199,0,1,auditoria
1200,A,6207,4.0,599,69,0.368,temporal,0.436,0,0.35583,0,1,auditoria
1041,B,6231,0.1,626,38,0.397,estable,0.29,1,0.35113,0,1,auditoria
1086,B,5670,2.7,703,70,0.385,temporal,0.427,0,0.27642,0,1,auditoria
80,A,7951,3.7,699,22,0.022,autonomo,0.132,0,0.10964,0,1,auditoria
294,A,6836,8.4,678,44,0.203,autonomo,0.576,0,0.14703,0,1,auditoria
611,A,5125,2.7,765,33,0.334,estable,0.357,0,0.19815,0,1,auditoria
51,A,8416,5.4,601,49,0.066,autonomo,0.187,0,0.16607,0,1,auditoria
114,A,8155,3.1,583,30,0.455,estable,0.293,0,0.34271,0,1,auditoria
427,B,4363,0.1,611,24,0.37,estable,0.511,0,0.38816,0,1,auditoria
417,A,10739,4.7,675,46,0.46,estable,0.246,0,0.31145,0,1,auditoria
1256,A,6694,0.8,624,37,0.253,estable,0.148,0,0.165,0,1,auditoria
644,A,4655,2.1,681,29,0.11,estable,0.318,0,0.19458,0,1,auditoria
1078,B,8061,2.5,659,34,0.581,temporal,0.564,0,0.47527,1,0,auditoria
322,A,4545,2.6,678,57,0.474,autonomo,0.391,0,0.44379,1,0,auditoria
940,A,6756,4.6,582,42,0.469,estable,0.358,0,0.38265,0,1,auditoria
290,B,7650,8.9,617,29,0.552,estable,0.112,0,0.10792,0,1,auditoria
933,B,8099,11.2,564,27,0.454,autonomo,0.238,0,0.13855,0,1,auditoria
302,B,3883,3.7,589,28,0.635,estable,0.435,0,0.58348,1,0,auditoria
797,B,5130,7.5,695,25,0.564,temporal,0.142,0,0.14191,0,1,auditoria
673,A,5072,8.8,730,37,0.189,estable,0.415,1,0.0583,0,1,auditoria
535,B,6404,2.1,633,31,0.314,temporal,0.319,0,0.37043,0,1,auditoria
196,B,6255,0.8,605,51,0.162,estable,0.295,0,0.21402,0,1,auditoria
1030,B,2698,0.5,581,33,0.359,estable,0.493,0,0.49616,1,0,auditoria
134,A,9445,3.4,586,42,0.51,estable,0.391,0,0.36271,0,1,auditoria
1265,B,4570,1.4,546,34,0.506,autonomo,0.266,0,0.47613,1,0,auditoria
543,B,5471,1.4,651,41,0.14,estable,0.482,0,0.32697,0,1,auditoria
1300,A,6273,0.2,523,54,0.485,autonomo,0.386,0,0.48894,1,0,auditoria
249,A,5281,0.9,663,47,0.406,estable,0.547,0,0.40603,1,0,auditoria
409,A,7490,7.2,683,40,0.222,autonomo,0.311,0,0.13677,0,1,auditoria
1135,B,6114,4.9,634,50,0.435,temporal,0.583,0,0.46086,1,0,auditoria
789,B,3513,2.1,433,60,0.197,autonomo,0.466,1,0.42829,1,0,auditoria
829,B,5579,7.9,603,38,0.314,temporal,0.45,1,0.24091,0,1,auditoria
1315,B,4278,0.3,692,32,0.234,estable,0.573,1,0.15187,0,1,auditoria
527,A,5854,2.0,634,29,0.262,estable,0.516,0,0.30508,0,1,auditoria
201,A,3481,7.3,596,41,0.259,estable,0.02,0,0.15683,0,1,auditoria
105,A,6560,1.0,533,39,0.332,estable,0.151,0,0.23303,0,1,auditoria
1336,B,8382,3.4,475,35,0.471,temporal,0.463,0,0.47601,1,0,auditoria
1092,B,3806,0.3,584,35,0.428,estable,0.54,0,0.54495,1,0,auditoria
711,A,5919,0.1,697,31,0.451,autonomo,0.281,0,0.28752,0,1,auditoria
273,B,6238,16.3,699,32,0.707,temporal,0.288,0,0.13698,0,1,auditoria
464,A,6920,7.4,695,29,0.128,estable,0.323,0,0.08896,0,1,auditoria
1205,B,5159,2.5,588,34,0.475,autonomo,0.327,1,0.51286,1,0,auditoria
1304,B,5864,4.3,550,23,0.603,estable,0.275,0,0.33641,0,1,auditoria
200,B,5967,9.8,589,45,0.415,estable,0.121,0,0.0854,0,1,auditoria
1306,B,9978,0.7,619,28,0.843,temporal,0.249,0,0.38191,0,1,auditoria
1032,A,8449,1.4,571,24,0.291,estable,0.343,0,0.3143,0,1,auditoria
1319,B,6068,2.8,648,30,0.546,temporal,0.281,1,0.3374,0,1,auditoria
572,B,3182,6.4,549,42,0.507,autonomo,0.417,0,0.54361,1,0,auditoria
1193,B,6413,0.5,571,50,0.062,autonomo,0.466,0,0.32626,0,1,auditoria
343,A,3262,13.4,707,42,0.209,estable,0.145,0,0.06378,0,1,auditoria
1,A,7213,3.6,747,42,0.521,estable,0.161,0,0.15053,0,1,auditoria
1106,A,7870,4.7,661,30,0.335,estable,0.58,0,0.29519,0,1,auditoria
651,A,7067,2.0,623,41,0.182,estable,0.317,0,0.29738,0,1,auditoria
661,A,8250,0.5,658,32,0.142,estable,0.394,0,0.25272,0,1,auditoria
1062,A,8823,4.9,671,45,0.068,estable,0.314,0,0.32008,0,1,auditoria
40,A,10321,2.3,619,35,0.289,estable,0.058,0,0.27509,0,1,auditoria
736,A,5345,0.8,632,55,0.528,autonomo,0.143,0,0.23321,0,1,auditoria
956,A,9331,3.0,655,26,0.299,estable,0.465,0,0.30206,0,1,auditoria
637,A,5244,7.8,681,43,0.061,autonomo,0.22,0,0.04986,0,1,auditoria
1018,A,7953,1.5,607,31,0.351,estable,0.477,0,0.35006,0,1,auditoria
140,A,6391,10.6,566,26,0.54,estable,0.558,0,0.20136,0,1,auditoria
719,A,4716,2.0,573,49,0.07,autonomo,0.523,1,0.53889,1,0,auditoria
468,B,5821,4.4,583,40,0.37,autonomo,0.535,1,0.53523,1,0,auditoria
363,A,3179,6.1,551,53,0.164,temporal,0.309,0,0.26475,0,1,auditoria
594,B,7744,0.4,593,38,0.293,estable,0.367,0,0.33014,0,1,auditoria
937,A,5450,1.0,509,37,0.024,estable,0.202,0,0.16406,0,1,auditoria
587,A,4738,4.9,692,44,0.229,estable,0.614,0,0.26401,0,1,auditoria
180,A,5995,7.2,689,48,0.318,estable,0.26,0,0.1081,0,1,auditoria
695,B,6930,6.2,725,40,0.274,temporal,0.02,0,0.06766,0,1,auditoria
1310,A,7118,1.7,659,42,0.33,estable,0.126,0,0.15605,0,1,auditoria
922,A,6141,3.6,833,38,0.291,autonomo,0.355,0,0.23387,0,1,auditoria
716,A,5433,10.9,517,42,0.353,estable,0.576,0,0.25472,0,1,auditoria
281,A,4723,6.9,684,31,0.123,estable,0.38,0,0.15899,0,1,auditoria
566,B,3999,2.0,624,42,0.326,estable,0.363,0,0.3916,0,1,auditoria
832,A,5332,1.1,644,40,0.172,estable,0.23,0,0.13978,0,1,auditoria
115,A,6206,0.4,758,39,0.133,estable,0.286,1,0.18984,0,1,auditoria
184,B,5788,8.7,523,49,0.358,estable,0.248,0,0.1347,0,1,auditoria
877,A,7777,2.9,565,36,0.325,estable,0.393,0,0.3443,0,1,auditoria
480,A,6645,5.7,701,33,0.086,temporal,0.271,0,0.08234,0,1,auditoria
389,A,6187,4.3,633,27,0.727,estable,0.355,0,0.34556,0,1,auditoria
777,A,7584,2.8,661,26,0.19,estable,0.192,0,0.17801,0,1,auditoria
1070,A,5322,0.1,518,44,0.098,estable,0.284,0,0.19796,0,1,auditoria
624,B,5723,13.4,557,39,0.516,estable,0.633,0,0.31027,0,1,auditoria
1079,A,4814,10.5,501,42,0.204,autonomo,0.396,0,0.13891,0,1,auditoria
558,A,4863,5.0,733,50,0.427,autonomo,0.268,0,0.18578,0,1,auditoria
367,A,5145,11.0,681,43,0.408,estable,0.469,0,0.11407,0,1,auditoria
846,A,6600,7.9,692,31,0.154,estable,0.169,0,0.03112,0,1,auditoria
421,B,3431,3.2,531,23,0.605,temporal,0.173,1,0.50732,1,0,auditoria
978,A,7450,1.4,643,43,0.155,estable,0.24,0,0.16162,0,1,auditoria
510,B,6080,11.9,684,24,0.683,estable,0.214,0,0.11476,0,1,auditoria
165,A,7287,0.1,663,36,0.489,estable,0.292,0,0.32854,0,1,auditoria
361,A,8284,0.1,668,61,0.048,estable,0.376,0,0.20816,0,1,auditoria
325,A,9130,2.8,553,48,0.4,estable,0.385,1,0.39242,0,1,auditoria
718,B,7092,1.4,633,39,0.406,temporal,0.386,0,0.41103,1,0,auditoria
691,A,6898,0.4,683,44,0.391,temporal,0.181,1,0.21384,0,1,auditoria
580,A,8179,0.9,701,37,0.406,estable,0.099,0,0.14827,0,1,auditoria
1244,B,1250,1.3,693,37,0.219,estable,0.473,0,0.15111,0,1,auditoria
167,A,7065,13.1,621,39,0.491,estable,0.616,0,0.18824,0,1,auditoria
889,A,7717,5.8,647,40,0.371,autonomo,0.492,0,0.39818,0,1,auditoria
704,B,5491,4.3,486,31,0.716,estable,0.327,0,0.44723,1,0,auditoria
127,B,8036,0.1,566,38,0.767,estable,0.479,0,0.39629,0,1,auditoria
309,B,3992,1.4,656,40,0.06,estable,0.258,0,0.21045,0,1,auditoria
1317,A,7549,9.0,594,50,0.311,temporal,0.02,0,0.08958,0,1,auditoria
1236,A,10192,5.3,623,48,0.313,autonomo,0.366,0,0.47471,1,0,auditoria
929,A,5330,10.7,624,32,0.415,autonomo,0.6,0,0.1648,0,1,auditoria
1233,B,7832,0.2,641,41,0.465,estable,0.525,0,0.41851,1,0,auditoria
1377,B,5820,0.4,640,48,0.599,autonomo,0.457,0,0.44837,1,0,auditoria
208,A,6554,0.5,713,52,0.237,estable,0.123,0,0.08221,0,1,auditoria
435,B,1200,0.1,585,33,0.123,estable,0.264,0,0.32744,0,1,auditoria
473,A,7154,4.5,751,25,0.187,estable,0.259,0,0.13207,0,1,auditoria
369,A,3866,3.5,741,42,0.256,estable,0.109,0,0.07602,0,1,auditoria
544,B,5597,2.6,621,43,0.599,temporal,0.248,0,0.32995,0,1,auditoria
349,B,4182,3.7,692,43,0.571,autonomo,0.461,1,0.41901,1,0,auditoria
698,A,4923,0.2,545,30,0.209,temporal,0.463,1,0.39133,0,1,auditoria
628,A,7154,8.8,643,48,0.738,autonomo,0.226,0,0.10458,0,1,auditoria
1060,B,4855,3.3,629,29,0.652,temporal,0.541,1,0.51858,1,0,auditoria
31,B,8909,4.6,804,32,0.352,estable,0.558,0,0.22747,0,1,auditoria
119,A,6193,6.5,850,38,0.073,autonomo,0.312,0,0.1151,0,1,auditoria
1125,A,5948,2.7,769,39,0.018,estable,0.54,0,0.19691,0,1,auditoria
1120,A,6899,7.4,611,49,0.244,estable,0.333,0,0.14347,0,1,auditoria
578,B,7491,1.7,531,38,0.397,estable,0.464,0,0.35931,0,1,auditoria
794,B,5164,8.6,438,35,0.65,temporal,0.316,0,0.1806,0,1,auditoria
1057,A,3313,1.9,685,51,0.216,estable,0.446,0,0.23811,0,1,auditoria
444,A,5745,5.6,571,36,0.298,estable,0.161,0,0.2131,0,1,auditoria
124,B,2270,7.3,610,44,0.634,temporal,0.245,0,0.31022,0,1,auditoria
437,A,7517,0.8,613,32,0.228,autonomo,0.228,0,0.21453,0,1,auditoria
874,B,6596,5.3,519,55,0.504,temporal,0.192,0,0.26536,0,1,auditoria
452,B,3164,9.3,616,40,0.504,estable,0.45,1,0.26751,0,1,auditoria
1071,A,5808,1.9,641,35,0.247,estable,0.301,0,0.18865,0,1,auditoria
796,A,8767,2.9,604,35,0.206,estable,0.356,0,0.31272,0,1,auditoria
1258,B,3918,1.5,671,47,0.305,estable,0.436,0,0.40455,1,0,auditoria
909,B,5102,2.2,649,28,0.236,autonomo,0.443,0,0.24601,0,1,auditoria
930,A,5736,4.7,757,21,0.389,estable,0.437,0,0.2279,0,1,auditoria
1325,B,5824,9.4,692,33,0.405,autonomo,0.249,0,0.05987,0,1,auditoria
231,A,6612,3.4,646,44,0.194,estable,0.431,0,0.2726,0,1,auditoria
605,B,7505,4.7,511,26,0.729,estable,0.546,0,0.32696,0,1,auditoria
90,B,7286,2.8,695,32,0.519,estable,0.306,0,0.23702,0,1,auditoria
334,A,8106,0.2,627,44,0.345,autonomo,0.726,0,0.55234,1,0,auditoria
1100,A,6667,3.3,629,31,0.085,estable,0.222,0,0.15665,0,1,auditoria
221,A,6977,0.4,790,48,0.218,estable,0.518,0,0.24926,0,1,auditoria
441,B,5712,3.3,585,55,0.221,autonomo,0.457,0,0.32011,0,1,auditoria
279,A,6719,1.6,620,36,0.226,estable,0.249,0,0.18753,0,1,auditoria
744,B,7596,0.3,593,41,0.211,estable,0.573,0,0.44389,1,0,auditoria
428,A,6393,3.1,608,46,0.498,estable,0.188,0,0.19565,0,1,auditoria
406,A,7047,3.9,599,48,0.297,estable,0.413,0,0.31214,0,1,auditoria
387,A,6363,1.3,712,42,0.445,estable,0.402,0,0.32874,0,1,auditoria
37,B,2844,0.1,653,33,0.398,temporal,0.284,0,0.30628,0,1,auditoria
1294,B,3133,1.4,570,60,0.474,autonomo,0.312,0,0.51412,1,0,auditoria
604,B,4408,3.8,714,42,0.22,estable,0.455,0,0.14391,0,1,auditoria
1097,A,3158,0.5,694,39,0.268,estable,0.542,0,0.20366,0,1,auditoria
1129,B,5895,1.1,613,38,0.444,temporal,0.366,0,0.49714,1,0,auditoria
476,A,6561,3.4,508,45,0.406,estable,0.456,0,0.46807,1,0,auditoria
85,B,7657,12.9,713,45,0.507,temporal,0.331,0,0.08769,0,1,auditoria
1066,B,4555,0.2,661,37,0.454,temporal,0.259,0,0.34182,0,1,auditoria
256,B,5812,2.2,632,34,0.486,autonomo,0.38,0,0.45998,1,0,auditoria
1364,B,6202,5.5,479,29,0.277,estable,0.598,0,0.38412,0,1,auditoria
3,B,5074,3.8,566,28,0.753,autonomo,0.384,1,0.49323,1,0,auditoria
24,A,5996,8.6,667,51,0.299,estable,0.211,0,0.05108,0,1,auditoria
1004,A,6801,6.8,717,29,0.289,estable,0.437,0,0.08405,0,1,auditoria
1347,A,5780,3.8,632,37,0.551,temporal,0.393,0,0.47184,1,0,auditoria
460,A,8083,7.8,616,35,0.453,autonomo,0.211,0,0.15364,0,1,auditoria
469,B,5357,1.4,585,43,0.574,autonomo,0.32,0,0.56203,1,0,auditoria
399,A,7019,9.2,678,47,0.361,estable,0.537,0,0.13974,0,1,auditoria
295,A,6164,4.4,709,40,0.173,estable,0.244,0,0.08139,0,1,auditoria
926,B,7187,25.0,747,33,0.652,autonomo,0.522,0,0.17146,0,1,auditoria
1039,B,4842,0.3,610,49,0.536,estable,0.43,0,0.42033,1,0,auditoria
1126,B,5862,0.1,665,44,0.512,temporal,0.05,0,0.18506,0,1,auditoria
344,B,3903,10.5,565,43,0.25,temporal,0.361,0,0.1798,0,1,auditoria
684,B,1717,0.2,557,47,0.748,estable,0.186,0,0.36596,0,1,auditoria
21,B,7040,2.8,566,22,0.63,temporal,0.377,0,0.44359,1,0,auditoria
1231,A,7958,13.7,640,33,0.11,autonomo,0.293,0,0.07995,0,1,auditoria
499,B,7799,0.5,699,22,0.577,temporal,0.436,0,0.33246,0,1,auditoria
1112,A,6349,2.9,651,36,0.181,autonomo,0.127,0,0.16265,0,1,auditoria
931,B,3454,1.0,621,39,0.135,autonomo,0.427,1,0.39134,0,1,auditoria
1358,B,6844,4.7,520,37,0.705,temporal,0.446,0,0.54307,1,0,auditoria
483,A,6947,8.5,650,42,0.248,estable,0.175,0,0.03911,0,1,auditoria
822,A,7429,7.6,725,27,0.138,estable,0.268,0,0.09014,0,1,auditoria
947,A,6768,5.0,495,68,0.568,estable,0.396,0,0.37585,0,1,auditoria
537,A,8276,5.4,653,47,0.135,autonomo,0.469,0,0.39354,0,1,auditoria
1335,A,6009,12.0,681,44,0.52,estable,0.289,0,0.0978,0,1,auditoria
479,A,8962,2.7,664,31,0.417,estable,0.187,0,0.24886,0,1,auditoria
750,B,2084,7.1,679,53,0.183,temporal,0.34,1,0.20199,0,1,auditoria
1082,B,6584,6.3,598,44,0.208,estable,0.35,0,0.18751,0,1,auditoria
1061,A,6871,0.8,636,38,0.155,autonomo,0.437,0,0.3569,0,1,auditoria
973,A,8652,2.0,624,21,0.502,temporal,0.416,0,0.4732,1,0,auditoria
257,B,9092,2.8,670,34,0.433,estable,0.414,0,0.342,0,1,auditoria
745,A,5337,1.9,678,31,0.419,estable,0.522,0,0.35981,0,1,auditoria
993,A,6359,1.4,535,43,0.431,estable,0.351,0,0.41132,1,0,auditoria
1083,A,6206,7.3,696,33,0.191,estable,0.574,0,0.13936,0,1,auditoria
1002,B,6601,3.2,595,29,0.349,temporal,0.504,0,0.49807,1,0,auditoria
1080,A,5663,6.5,668,30,0.103,estable,0.188,0,0.06141,0,1,auditoria
98,B,7975,4.3,549,37,0.625,autonomo,0.352,0,0.4373,1,0,auditoria
678,A,9500,12.9,619,52,0.283,autonomo,0.451,0,0.14554,0,1,auditoria
193,B,6530,4.9,650,25,0.586,temporal,0.262,0,0.30518,0,1,auditoria
948,B,4882,1.1,648,40,0.246,temporal,0.305,1,0.25321,0,1,auditoria
1363,A,5312,3.7,770,58,0.48,estable,0.203,0,0.16544,0,1,auditoria
1155,B,9271,0.6,687,27,0.379,autonomo,0.853,0,0.4493,1,0,auditoria
1289,B,3790,1.1,683,21,0.269,temporal,0.378,1,0.20035,0,1,auditoria
278,A,5878,0.9,718,32,0.109,autonomo,0.48,0,0.1615,0,1,auditoria
522,A,8664,15.6,638,47,0.044,estable,0.279,0,0.19431,0,1,auditoria
1309,A,6367,0.1,643,29,0.355,estable,0.205,0,0.25396,0,1,auditoria
756,A,6301,0.8,755,41,0.229,estable,0.253,0,0.11767,0,1,auditoria
171,A,7620,8.9,618,27,0.139,estable,0.422,0,0.15614,0,1,auditoria
1037,B,5067,0.1,643,25,0.262,temporal,0.542,0,0.30895,0,1,auditoria
845,B,5784,1.5,572,35,0.463,autonomo,0.374,0,0.57569,1,0,auditoria
223,B,5756,4.4,531,25,0.5,estable,0.542,0,0.3733,0,1,auditoria
903,B,4081,8.8,633,33,0.547,estable,0.411,0,0.1946,0,1,auditoria
974,B,2928,1.3,571,40,0.289,autonomo,0.299,0,0.42202,1,0,auditoria
924,B,2447,5.7,575,40,0.473,estable,0.323,0,0.54114,1,0,auditoria
104,A,3962,5.3,732,37,0.41,estable,0.306,0,0.29582,0,1,auditoria
1074,A,9093,9.0,690,49,0.099,estable,0.43,0,0.12902,0,1,auditoria
1058,A,8038,1.0,804,38,0.568,estable,0.21,0,0.27317,0,1,auditoria
1280,A,7088,1.7,632,43,0.339,estable,0.37,0,0.33414,0,1,auditoria
753,A,4445,0.6,541,47,0.488,estable,0.385,0,0.50792,1,0,auditoria
1349,A,6789,2.0,675,29,0.668,autonomo,0.551,1,0.48229,1,0,auditoria
1350,A,4775,1.4,743,50,0.187,estable,0.29,0,0.09819,0,1,auditoria
692,A,6421,17.6,612,29,0.282,estable,0.136,0,0.14924,0,1,auditoria
875,B,6135,0.5,802,50,0.371,estable,0.286,0,0.20792,0,1,auditoria
622,A,9534,0.8,709,53,0.489,estable,0.224,0,0.19674,0,1,auditoria
1216,A,8502,0.7,733,43,0.402,estable,0.236,0,0.17616,0,1,auditoria
1020,A,7442,4.4,568,53,0.365,autonomo,0.488,1,0.38877,0,1,auditoria
439,A,7668,4.0,596,28,0.412,autonomo,0.237,0,0.28047,0,1,auditoria
438,A,6461,0.1,740,29,0.371,estable,0.063,0,0.18381,0,1,auditoria
739,A,4319,0.6,685,46,0.239,estable,0.328,0,0.26269,0,1,auditoria
967,A,6571,2.6,568,21,0.111,estable,0.214,0,0.25685,0,1,auditoria
188,B,6074,6.3,623,29,0.277,estable,0.617,0,0.2641,0,1,auditoria
818,A,5099,0.1,646,29,0.559,autonomo,0.381,0,0.37817,0,1,auditoria
660,A,4742,5.5,573,50,0.259,estable,0.457,0,0.33115,0,1,auditoria
1093,A,5181,4.6,712,31,0.436,temporal,0.263,0,0.22358,0,1,auditoria
1343,A,5765,0.8,635,37,0.391,autonomo,0.234,0,0.31781,0,1,auditoria
